"race","driver1_name","driver1_avg_lap_ms","driver1_avg_stddev_ms","driver1_lap_cv","driver2_name","driver2_avg_lap_ms","driver2_avg_stddev_ms","driver2_lap_cv","cv_diff"
"Abu Dhabi Grand Prix","Gasly","93515.103448275862","10222.28550283","0.10931159915236631524","Tsunoda","93500.637931034483","10805.33166105","0.11556425603234866337","0.00625265687998234813"
"Abu Dhabi Grand Prix","Sainz","93491.689655172414","11346.94702151","0.12136850947245910452","Leclerc","94541.413793103448","13575.13349233","0.14358927953032442310","0.02222077005786531858"
"Abu Dhabi Grand Prix","Ocon","94506.396551724138","13212.82039023","0.13980874176065440552","Alonso","94466.431034482759","13406.42228543","0.14191731537456199034","0.00210857361390758482"
"Abu Dhabi Grand Prix","Stroll","95181.175438596491","13368.75086071","0.14045582857226301785","Vettel","94566.758620689655","12778.53353653","0.13512711784682304370","-0.00532871072543997415"
"Abu Dhabi Grand Prix","Ricciardo","95103.964912280702","14314.28254522","0.15051194299231164526","Norris","94423.189655172414","13976.61653514","0.14802101672461743640","-0.00249092626769420886"
"Abu Dhabi Grand Prix","Verstappen","93402.500000000000","15280.33964472","0.16359668793362062043","Pérez","91864.927272727273","10304.53680174","0.11217052152175595322","-0.05142616641186466721"
"Abu Dhabi Grand Prix","Hamilton","93441.396551724138","15662.30112481","0.16761629965729580449","Bottas","93531.172413793103","11222.83593040","0.11999032665546872868","-0.04762597300182707581"
"Austrian Grand Prix","Russell","72160.271428571429","7700.026201576781","0.10670727879950852790","Latifi","72540.628571428571","7905.283210780630","0.10897731886892234249","0.00227004006941381459"
"Austrian Grand Prix","Ricciardo","71759.690140845070","7675.048438360967","0.10695487150650874657","Norris","71191.014084507042","8106.897596655328","0.11387529312382127077","0.00692042161731252420"
"Austrian Grand Prix","Schumacher","73050.826086956522","7914.204790710780","0.10833833393328167544","Mazepin","73790.971014492754","8230.355831724078","0.11153608251214925731","0.00319774857886758187"
"Austrian Grand Prix","Sainz","71713.901408450704","7802.865051019821","0.10880547422149226626","Leclerc","71770.957746478873","7674.800027988853","0.10693461908504883195","-0.00187085513644343431"
"Austrian Grand Prix","Stroll","72337.428571428571","7893.216351044055","0.10911662892813517864","Vettel","72204.159420289855","7888.379084270266","0.10925103411775995773","0.00013440518962477909"
"Austrian Grand Prix","Gasly","71780.098591549296","7964.275560553299","0.11095381194545944553","Tsunoda","72242.314285714286","8105.117756197127","0.11219349540965482591","0.00123968346419538038"
"Austrian Grand Prix","Hamilton","71563.309859154930","7956.404714965798","0.11117994305496692177","Bottas","71162.197183098592","7810.716545910713","0.10975935054132646378","-0.00142059251364045799"
"Austrian Grand Prix","Giovinazzi","72450.871428571429","8348.605923583157","0.11523126994840858397","Räikkönen","72563.400000000000","8456.486150381505","0.11653927669295409256","0.00130800674454550859"
"Austrian Grand Prix","Verstappen","70909.056338028169","8297.540535582687","0.11701665434705211121","Pérez","71583.915492957746","7807.407862768134","0.10906651038858314574","-0.00795014395846896547"
"Azerbaijan Grand Prix","Russell","116712.625000000000","19255.13504610","0.16497902472932983900","Latifi","157427.235294117647","293754.76987927","1.8659717254797417","1.70099270075041186100"
"Azerbaijan Grand Prix","Schumacher","157463.745098039216","288742.65136740","1.8337087765035985","Mazepin","157465.196078431373","258373.92550356","1.6408319548585663","-0.1928768216450322"
"Azerbaijan Grand Prix","Hamilton","157530.941176470588","290540.35084473","1.8443383164914792","Bottas","157405.372549019608","291230.69487373","1.8501953914122858","0.0058570749208066"
"Azerbaijan Grand Prix","Ricciardo","157358.509803921569","290424.12821660","1.8456207330540078","Norris","157277.725490196078","290579.58493591","1.8475571415484598","0.0019364084944520"
"Azerbaijan Grand Prix","Giovinazzi","157385.568627450980","290571.79596928","1.8462416757987229","Räikkönen","157372.274509803922","290516.96443066","1.8460492188702622","-0.0001924569284607"
"Azerbaijan Grand Prix","Sainz","157335.666666666667","290511.26288085","1.8464425075105878","Leclerc","157259.568627450980","290734.75722433","1.8487571838193368","0.0023146763087490"
"Azerbaijan Grand Prix","Gasly","157238.666666666667","290686.90203369","1.8486985942835732","Tsunoda","157314.392156862745","290605.35482286","1.8472903263236651","-0.0014082679599081"
"Bahrain Grand Prix","Stroll","100189.464285714286","10747.70516557","0.10727380610520424665","Vettel","100953.436363636364","10487.64499880","0.10388596343588826422","-0.00338784266931598243"
"Bahrain Grand Prix","Russell","100760.981818181818","10840.12735761","0.10758258962949041983","Latifi","102558.607843137255","11176.37504574","0.10897549489784607127","0.00139290526835565144"
"Bahrain Grand Prix","Sainz","99839.232142857143","10815.75200427","0.10833168256737036331","Leclerc","99696.196428571429","10927.30246246","0.10960601160234834818","0.00127432903497798487"
"Bahrain Grand Prix","Ricciardo","99819.660714285714","10840.84128281","0.10860426899105368802","Norris","99470.767857142857","10985.58001612","0.11044028565153114813","0.00183601666047746011"
"Bahrain Grand Prix","Giovinazzi","100532.636363636364","11090.97471982","0.11032213140917603380","Räikkönen","100227.875000000000","10797.69577787","0.10773146470350688369","-0.00259066670566915011"
"Bahrain Grand Prix","Hamilton","98641.017857142857","11274.98614148","0.11430322178760393268","Bottas","99308.571428571429","11625.21120802","0.11706150879817595899","0.00275828701057202631"
"Bahrain Grand Prix","Verstappen","98654.321428571429","11300.14867659","0.11454286556287991100","Pérez","99570.428571428571","11274.93851603","0.11323581386356821423","-0.00130705169931169677"
"Bahrain Grand Prix","Gasly","101189.730769230769","12589.24592910","0.12441228801972532206","Tsunoda","100171.232142857143","11005.86755738","0.10987054189055205277","-0.01454174612917326929"
"British Grand Prix","Schumacher","140615.549019607843","300258.97178911","2.1353184187848316","Mazepin","140584.764705882353","302096.82988907","2.1488589501222792","0.0135405313374476"
"British Grand Prix","Ocon","138066.269230769231","297059.91067903","2.1515748367366451","Alonso","137988.019230769231","296581.76414155","2.1493298171455799","-0.0022450195910652"
"British Grand Prix","Gasly","138242.519230769231","297604.70590830","2.1527725880885195","Tsunoda","138179.788461538462","297608.39880413","2.1537766276648163","0.0010040395762968"
"British Grand Prix","Giovinazzi","139373.235294117647","300499.60383945","2.1560782685808314","Räikkönen","139426.196078431373","299646.42574842","2.1491400768035011","-0.0069381917773303"
"British Grand Prix","Ricciardo","137421.307692307692","296425.97351153","2.1570597637976252","Norris","137151.096153846154","296445.30518271","2.1614504987271786","0.0043907349295534"
"British Grand Prix","Russell","139287.117647058824","300496.58888923","2.1573896708140781","Latifi","139404.274509803922","300730.47980357","2.1572543658438569","-0.0001353049702212"
"British Grand Prix","Sainz","137437.269230769231","296639.49282147","2.1583628260496523","Leclerc","136676.057692307692","295896.22009675","2.1649455295446631","0.0065827034950108"
"British Grand Prix","Hamilton","136601.615384615385","296211.24635540","2.1684315044253897","Bottas","136815.557692307692","296184.99602659","2.1648488009872190","-0.0035827034381707"
"Dutch Grand Prix","Gasly","76298.352112676056","2280.761915918147","0.02989267595910797876","Tsunoda","78264.125000000000","3509.868571370995","0.04484645514622433970","0.01495377918711636094"
"Dutch Grand Prix","Ocon","76823.450704225352","2396.534955714976","0.03119535680506947909","Alonso","76772.732394366197","2557.897791757613","0.03331779020991727613","0.00212243340484779704"
"Dutch Grand Prix","Stroll","77467.385714285714","2619.583047322979","0.03381530205478333660","Vettel","77499.157142857143","3630.763849986464","0.04684907531695782121","0.01303377326217448461"
"Dutch Grand Prix","Sainz","76801.352112676056","2601.493395826941","0.03387301556892205753","Leclerc","76368.661971830986","2546.557558428700","0.03334558302681814951","-0.00052743254210390802"
"Dutch Grand Prix","Ricciardo","77046.788732394366","2760.560682778011","0.03582966569010723345","Norris","76869.366197183099","2932.429437657630","0.03814821928068778271","0.00231855359058054926"
"Dutch Grand Prix","Verstappen","75074.930555555556","3027.140682792824","0.04032159151386407963","Pérez","76809.563380281690","4003.777704448617","0.05212603129412468766","0.01180443978026060803"
"Dutch Grand Prix","Giovinazzi","77616.742857142857","3371.550018481433","0.04343843730581330951","Kubica","78083.614285714286","2945.502000928555","0.03772240857282456174","-0.00571602873298874777"
"Dutch Grand Prix","Hamilton","75365.652777777778","3796.122021071690","0.05036939084525530422","Bottas","75859.097222222222","3430.542071729724","0.04522255335678814775","-0.00514683748846715647"
"Dutch Grand Prix","Russell","78192.014492753623","6245.893734599118","0.07987892082225290122","Latifi","78110.642857142857","3338.610975752043","0.04274207526185712948","-0.03713684556039577174"
"Emilia Romagna Grand Prix","Gasly","117578.031746031746","185074.31272268","1.5740552038023570","Tsunoda","117821.936507936508","189451.04489073","1.6079437370134257","0.0338885332110687"
"Emilia Romagna Grand Prix","Ocon","117782.571428571429","188596.26576997","1.6012238778836913","Alonso","117796.174603174603","189554.70443976","1.6091753834818631","0.0079515055981718"
"Emilia Romagna Grand Prix","Stroll","117563.603174603175","188913.21912485","1.6069022556605361","Vettel","119328.590163934426","188428.95942294","1.5790763903610612","-0.0278258652994749"
"Emilia Romagna Grand Prix","Giovinazzi","118819.725806451613","191170.38670839","1.6089111922358091","Räikkönen","117767.793650793651","189223.51879569","1.6067509879379896","-0.0021602042978195"
"Emilia Romagna Grand Prix","Schumacher","120600.590163934426","196955.16947776","1.6331194499963516","Mazepin","121719.081967213115","194127.42434711","1.5948807796578779","-0.0382386703384737"
"Emilia Romagna Grand Prix","Ricciardo","117552.666666666667","203539.10725294","1.7314716290537007","Norris","117115.873015873016","205964.07857639","1.7586350447003470","0.0271634156466463"
"Emilia Romagna Grand Prix","Sainz","117168.793650793651","204968.49051974","1.7493436958190585","Leclerc","117145.666666666667","210598.28052947","1.7977470829434863","0.0484033871244278"
"Emilia Romagna Grand Prix","Verstappen","116739.650793650794","212845.15887431","1.8232464927493698","Pérez","117805.539682539683","205315.61488210","1.7428349756334120","-0.0804115171159578"
"French Grand Prix","Hamilton","99031.584905660377","2999.788155558542","0.03029122636395453910","Bottas","99252.603773584906","3118.746452685651","0.03142231371380580718","0.00113108734985126808"
"French Grand Prix","Sainz","100851.075471698113","3158.003202177559","0.03131353024652464906","Leclerc","101281.615384615385","4432.665630776641","0.04376574775139260051","0.01245221750486795145"
"French Grand Prix","Ricciardo","100408.056603773585","3317.713244060029","0.03304230114872416591","Norris","100184.943396226415","3549.750925255148","0.03543198014512082450","0.00238967899639665859"
"French Grand Prix","Gasly","100422.000000000000","3431.345839350905","0.03416926409901122264","Tsunoda","101118.096153846154","3728.109804721871","0.03686886864493312213","0.00269960454592189949"
"French Grand Prix","Ocon","101132.442307692308","3501.819411775080","0.03462607380845113414","Alonso","100442.735849056604","3573.949652861681","0.03558196242516276383","0.00095588861671162969"
"French Grand Prix","Giovinazzi","101218.576923076923","3555.316556580613","0.03512513873103103150","Räikkönen","101316.423076923077","3801.981868870724","0.03752582013267604649","0.00240068140164501499"
"French Grand Prix","Russell","101034.980769230769","3594.996683793418","0.03558170305396088758","Latifi","101331.173076923077","3595.968078339601","0.03548728361813999676","-0.00009441943582089082"
"French Grand Prix","Stroll","100711.622641509434","3694.353973015992","0.03668249876348752461","Vettel","100479.924528301887","3552.056407908483","0.03535090640825457270","-0.00133159235523295191"
"French Grand Prix","Schumacher","101921.288461538462","4094.467392577924","0.04017283782791887613","Mazepin","102192.346153846154","3772.510054741030","0.03691577888877978588","-0.00325705893913909025"
"French Grand Prix","Verstappen","98976.792452830189","4012.504667423552","0.04053985351501271602","Pérez","99143.037735849057","3222.842909858553","0.03250700183754010231","-0.00803285167747261371"
"Hungarian Grand Prix","Giovinazzi","109026.492753623188","178086.29123699","1.6334221778501795","Räikkönen","108699.434782608696","180228.61244717","1.6580455345293624","0.0246233566791829"
"Hungarian Grand Prix","Gasly","107811.614285714286","178531.24107816","1.6559555504384699","Tsunoda","107985.742857142857","179494.56800442","1.6622061695855352","0.0062506191470653"
"Hungarian Grand Prix","Russell","108032.757142857143","179221.32649353","1.6589535547679917","Latifi","108015.842857142857","179298.40126688","1.6599268822446020","0.0009733274766103"
"Hungarian Grand Prix","Ocon","106902.842857142857","180357.26319328","1.6871138163677860","Alonso","107126.428571428571","179722.08218509","1.6776633421066297","-0.0094504742611563"
"Italian Grand Prix","Giovinazzi","93237.377358490566","15766.84873791","0.16910437835770171537","Kubica","93285.547169811321","16317.77637044","0.17492287782518030412","0.00581849946747858875"
"Italian Grand Prix","Russell","93096.358490566038","16665.67843838","0.17901536331379518067","Latifi","93171.849056603774","15932.97524053","0.17100632220844298995","-0.00800904110535219072"
"Italian Grand Prix","Ocon","93117.603773584906","16812.04226410","0.18054633692012109595","Alonso","93048.415094339623","16625.98774328","0.17868104176114443092","-0.00186529515897666503"
"Italian Grand Prix","Stroll","93022.056603773585","16814.84816649","0.18076194808412652773","Vettel","93188.415094339623","15288.48743516","0.16405995766407922535","-0.01670199042004730238"
"Italian Grand Prix","Sainz","92922.641509433962","17734.11321230","0.19084813909965684637","Leclerc","92861.773584905660","18823.43066770","0.20270376001907074789","0.01185562091941390152"
"Italian Grand Prix","Ricciardo","92723.867924528302","18091.86209432","0.19511548104362618544","Norris","92756.830188679245","17457.66213392","0.18820891246939858222","-0.00690656857422760322"
"Mexico City Grand Prix","Russell","86346.202898550725","9814.548505661963","0.11366508515948528139","Latifi","86556.173913043478","10291.89622092","0.11890424166922511278","0.00523915650973983139"
"Mexico City Grand Prix","Giovinazzi","85429.785714285714","9912.320015205872","0.11602885261069216279","Räikkönen","84774.928571428571","10165.29791165","0.11990924773336793536","0.00388039512267577257"
"Mexico City Grand Prix","Ocon","85606.557142857143","10199.74457003","0.11914676761277799294","Alonso","84896.785714285714","10257.35095600","0.12082142886446146832","0.00167466125168347538"
"Mexico City Grand Prix","Sainz","84593.085714285714","10112.05299006","0.11953758282578312756","Leclerc","84508.774647887324","10004.37767351","0.11838270895766803439","-0.00115487386811509317"
"Mexico City Grand Prix","Hamilton","83600.577464788732","10231.65847004","0.12238741382318101843","Bottas","86261.144927536232","11511.45720866","0.13344892672512302110","0.01106151290194200267"
"Mexico City Grand Prix","Verstappen","83367.408450704225","10221.88047779","0.12261242933842995406","Pérez","83617.436619718310","10201.52398241","0.12200235255722153759","-0.00061007678120841647"
"Mexico City Grand Prix","Ricciardo","85442.500000000000","10626.09780552","0.12436548328431401235","Norris","84933.028571428571","10464.45228349","0.12320827903469153573","-0.00115720424962247662"
"Mexico City Grand Prix","Stroll","85899.086956521739","10812.37919856","0.12587303988496106927","Vettel","84702.057142857143","10074.33660618","0.11893851160177590539","-0.00693452828318516388"
"Monaco Grand Prix","Verstappen","76113.076923076923","2188.406624109777","0.02875204514884443291","Pérez","76375.769230769231","2678.354509977886","0.03506811829135551237","0.00631607314251107946"
"Monaco Grand Prix","Gasly","76804.051282051282","2439.401139504104","0.03176136022494141137","Tsunoda","78057.974025974026","3237.127397676860","0.04147080984448425611","0.00970944961954284474"
